"Product ID
(Leave blank for New Product)",Product Name,"SKU 
(Do not edit SKU leave blank for adding new product)","Category ID
(Leave Blank if a new Category is added)","Category Name 
(If changing a category of product, make sure the correct Category ID is entered in Column B)",Alias name 1,Alias Name 2 ,Alias Name 3,"UPC 1
(Default)",UPC 2,UPC 3,Retail UPC 1,Retail UPC 2,Brand Name,Bin,Aisle,Zone,Weight,Weight Unit,Other Category IDs,Other Categories ,Status,Tags,"Online 
(Y or N)","Hot Seller
(Y or N)","Featured Product 
(Y or N)","Back Order
(Y or N)","BO Online
(Y or N)
(Cannot be ""Y"" if Back Order is ""N"")","New Arrival
(Y or N)","Base Cost Price
(Default UOM: Piece)","Net Cost Price
(Default UOM: Piece)","Sale Price
(Default UOM: Piece)",Curr. Available Quantity, New Available Quantity ,Image URL 1,Image Url 2,Image url 3 
199,Geekbar Pulse X Disposables-Cool Mint,1199,3,Disposable Vape Nicotine,,,,9827,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,8,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/abf1f49f-5f51-4a82-bece-a5d41ddc1b75,,
983,Geek Bar Pulse X 25K Disposable-DROP SOUR SAVERS,1983,3,Disposable Vape Nicotine,,,,20160,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/product/images/product-coming-soon.png,,
885,Geek Bar Pulse X 25K Disposable-WILD CHERRY SLUSH,1885,3,Disposable Vape Nicotine,,,,22360,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/cb45836f-562c-4204-9640-4bb742434da9,,
987,Geek Bar Pulse X 25K Disposable-STRAWBERRY WATERMELON,1987,3,Disposable Vape Nicotine,,,,17911,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/product/images/product-coming-soon.png,,
986,Geek Bar Pulse X 25K Disposable-ORANGE DRAGON,1986,3,Disposable Vape Nicotine,,,,17910,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,20,,https://khub-app.s3-accelerate.amazonaws.com/media/product/images/product-coming-soon.png,,
1069,Kumi Six Scenic Vape MC 50k Puffs-Blue Razz Ice,2069,3,Disposable Vape Nicotine,,,,86560,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,48.75,48.75,58.75,72,,https://khub-app.s3-accelerate.amazonaws.com/media/product/images/product-coming-soon.png,,
197,Geekbar Pulse X Disposables-Blue Rancher,1197,3,Disposable Vape Nicotine,,,,9825,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/5b910409-5d9e-4b4f-b7bc-3f973ae4eb79,,
836,Geek Bar Pulse X 25K Disposable-Pink & Blue,1836,3,Disposable Vape Nicotine,,,,23660,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/a916f51d-14d5-4e42-b854-b92fdfa33d59,,
215,Geekbar Pulse X Disposables-Sour Straws,1215,3,Disposable Vape Nicotine,,,,98223,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/2d41f0ec-c0ef-4661-a6b6-f9ce7597132c,,
1040,Kumi Six Scenic Vape MC 50k Puffs -Vanilla Cola,2040,3,Disposable Vape Nicotine,,,,68974,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,48.75,48.75,58.75,1,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/e045d90e-8d72-4b25-86c8-b73849300a5b,,
1037,Kumi Six Scenic Vape MC 50k Puffs-Strawberry Watermelon,2037,3,Disposable Vape Nicotine,,,,34100,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,Y,Y,N,N,Y,48.75,48.75,58.75,2,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/8aaeb821-b735-4829-b89d-84e833ff088b,,
1043,Kumi Six Scenic Vape MC 50k Puffs-Grape Rancher,2043,3,Disposable Vape Nicotine,,,,68977,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,48.75,48.75,58.75,48,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/fcd5a27a-850b-48ae-8eb1-dd21b85870f0,,
1042,Kumi Six Scenic Vape MC 50k Puffs-Loopy,2042,3,Disposable Vape Nicotine,,,,68976,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,48.75,48.75,58.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/12ac05dd-ae72-4940-a3a1-cae9eb018822,,
196,Geekbar Pulse X Disposables-Blackberry Blueberry,1196,3,Disposable Vape Nicotine,,,,9824,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/dc6669d7-6fea-4336-a18c-a3e95d7d7f9f,,
221,Geekbar Pulse X Disposables-White Peach Raspberry,1221,3,Disposable Vape Nicotine,,,,98229,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/ff7d6978-3d01-47a3-820d-c0063dda4dbd,,
985,Geek Bar Pulse X 25K Disposable-PEACH JAM,1985,3,Disposable Vape Nicotine,,,,20162,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,60,,https://khub-app.s3-accelerate.amazonaws.com/media/product/images/product-coming-soon.png,,
213,Geekbar Pulse X Disposables-Sour Mango Pineapple,1213,3,Disposable Vape Nicotine,,,,98221,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/12781d1e-6132-40c5-87aa-b4802440da42,,
205,Geekbar Pulse X Disposables-Miami Mint,1205,3,Disposable Vape Nicotine,,,,98213,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/723f0b9d-9047-4d9c-ad69-2b77e0876190,,
1046,Kumi Six Scenic Vape MC 50k Puffs-Sour Blueberry Pink Lemonade,2046,3,Disposable Vape Nicotine,,,,689710,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,48.75,48.75,58.75,72,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/14422e01-de97-4adf-a4ae-268ec3f6dc6e,,
212,Geekbar Pulse X Disposables-Sour Fcuking Fab,1212,3,Disposable Vape Nicotine,,,,98220,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/b9ba3c58-0e8a-4921-834d-b1060d1e05ff,,
203,Geekbar Pulse X Disposables-Lemon Heads,1203,3,Disposable Vape Nicotine,,,,98211,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/1c588526-e4bd-4ad5-bd55-a25a5a5b1113,,
1048,Kumi Six Scenic Vape MC 50k Puffs -Sour Rocket Pop,2048,3,Disposable Vape Nicotine,,,,689712,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,48.75,48.75,58.75,74,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/b07426d9-5fe0-42cd-b425-745e7c48a14c,,
210,Geekbar Pulse X Disposables-Raspbery Peach Lime,1210,3,Disposable Vape Nicotine,,,,98218,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/27c5a2e7-0458-4044-a6c4-d629bd1fc6d5,,
217,Geekbar Pulse X Disposables-Strawberry Colada,1217,3,Disposable Vape Nicotine,,,,98225,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,1,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/b715e679-966e-4d79-99a2-9e1cb731561c,,
820,NIQ Pearl 50k-Strawberry Kiwi Blast,1820,3,Disposable Vape Nicotine,,,,96776,,,,,NIQ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,40,40,42.5,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/589f08a6-dd3f-46e1-8bdb-eb6ef2409e11,,
1045,Kumi Six Scenic Vape MC 50k Puffs -White Gummy,2045,3,Disposable Vape Nicotine,,,,68979,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,Y,Y,N,N,Y,48.75,48.75,58.75,72,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/345662ed-ea0c-48fc-a1d2-af3bab1c845a,,
1002,KadoBar Drip 5% 50k Puffs-Miami Mint,2002,3,Disposable Vape Nicotine,,,,11788,,,,,Kado Bar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,64.95,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/c9f486ee-b314-44ea-ab50-dc052c57f79c,,
1049,Kumi Six Scenic Vape MC 50k Puffs-Jammy Blue,2049,3,Disposable Vape Nicotine,,,,689713,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,48.75,48.75,58.75,1,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/28e48117-3f19-4517-9b86-7c02bc4882de,,
204,Geekbar Pulse X Disposables-Lime Berry Orange,1204,3,Disposable Vape Nicotine,,,,98212,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/73d4b376-5511-4292-bbbe-f673f21a455f,,
193,Geekbar Pulse X Disposables-Banana Taffy Freeze,1193,3,Disposable Vape Nicotine,,,,9821,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/a0d81e10-5aaf-41e6-bf93-1216e9743cec,,
868,Suonon Donete 50000-The Mighty Straw,1868,3,Disposable Vape Nicotine,,,,884213,,,,,Suonon,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,43.75,44,45,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/6055271f-68d8-41b3-b829-e5e7ab734632,,
1038,Kumi Six Scenic Vape MC 50k Puffs-Watermelon Ice,2038,3,Disposable Vape Nicotine,,,,68972,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,48.75,48.75,58.75,72,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/3246141d-9caf-4b11-9313-8cfe6f4fe93e,,
963,PILLOW TALK 40K DISPO 5PK-BLUE COTTON CANDY,1963,3,Disposable Vape Nicotine,,,,52687,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,46.25,46.5,60,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/0b772f66-67d2-4650-8b97-0436b483f7e4,,
436,Nexa Ultra 50000 Disposable-Sour Apple Ice,1436,3,Disposable Vape Nicotine,,,,53469,,,,,Nexa,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,45,45,55,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/c2f44b05-d74e-470e-b523-55face10bf23,,
726,PILLOW TALK 40K DISPO 5PK-Spearmint,1726,3,Disposable Vape Nicotine,,,,934713,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,46.25,46.5,60,1,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/cca62756-ea71-4978-993e-e00741032f1c,,
882,Nexa Pix 35000-Tropical Rainbow,1882,3,Disposable Vape Nicotine,,,,57123,,,,,Nexa,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,43.75,43.75,45,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/30e5002d-3aa6-447a-9b30-a2ce8c99ee05,,
728,PILLOW TALK 40K DISPO 5PK-Menthol,1728,3,Disposable Vape Nicotine,,,,934715,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,46.25,46.5,60,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/dbafa720-674b-437b-9525-d3f1c99fde06,,
883,Nexa Pix 35000-Watermelon Slush,1883,3,Disposable Vape Nicotine,,,,57124,,,,,Nexa,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,43.75,43.75,45,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/b28d9663-6bac-407b-a49d-ca0b87f7f23d,,
819,NIQ Pearl 50k-Strawberry Mango,1819,3,Disposable Vape Nicotine,,,,96775,,,,,NIQ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,40,40,42.5,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/cf44ef85-50c0-4547-ab4a-aa94e39b630e,,
959,PILLOW TALK 40K DISPO 5PK-PEACH LEMONADE,1959,3,Disposable Vape Nicotine,,,,52683,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,46.25,46.5,60,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/70579246-61d3-4a38-ab1e-e9c88dd41571,,
960,PILLOW TALK 40K DISPO 5PK- PEACH LEMON GUMMIES,1960,3,Disposable Vape Nicotine,,,,52684,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,46.25,46.5,60,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/0778daa9-f79d-40c1-871c-be418fe82211,,
961,PILLOW TALK 40K DISPO 5PK-Dragon Melon,1961,3,Disposable Vape Nicotine,,,,52685,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,46.25,46.5,60,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/62ff1606-2c75-4e36-b209-3d6756e7a458,,
962,PILLOW TALK 40K DISPO 5PK- Blue Mint,1962,3,Disposable Vape Nicotine,,,,52686,,,,,Pillow Talk,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,46.25,46.5,60,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/271e0034-0f1d-4fbf-baef-472f8e2acbaf,,
1047,Kumi Six Scenic Vape MC 50k Puffs -Cool Mint,2047,3,Disposable Vape Nicotine,,,,689711,,,,,Kumi,,,,,2,3,Disposable Vape Nicotine,Active,,Y,Y,N,N,N,Y,48.75,48.75,58.75,73,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/1d6211d6-66ac-4bd0-b49d-dcf4348488e0,,
922,RAZ LTX 25000-Triple Berry Punch,1922,3,Disposable Vape Nicotine,,,,94920,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,1,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/afba3165-bc47-45ed-9349-304f91b81a93,,
842,RAZ LTX 25000-Tropical Gush,1842,3,Disposable Vape Nicotine,,,,9462,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/e5e8fae5-3fd6-4454-b505-195113d2dd65,,
1092,Dinner Lady Snap Pro 35K Disposable Kit- Berry Cherry Lime,2092,3,Disposable Vape Nicotine,,,,125658125,,,,,Dinner Lady,,,,,2,3,Disposable Vape Nicotine,Active,,Y,Y,Y,Y,N,Y,50,50,55,60,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/b40bc4c4-ea3a-4599-a405-7d5d1cd8510b,,
665,Raz RYL Classic 35k Disposable Vape-Orange Mango,1665,3,Disposable Vape Nicotine,,,,95386,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,67.5,55,67.5,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/0482ddbb-8286-48e2-8bfc-4bac99e7d2df,,
1033,RAZ LTX 25000-Wintergreen,2033,3,Disposable Vape Nicotine,,,,4350,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,30,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/5851874a-8638-499a-a00a-b4a00b9ba71c,,
1034,RAZ LTX 25000-Frozen Cherry Apple,2034,3,Disposable Vape Nicotine,,,,4351,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/00bbabaf-e23f-4f9d-9563-e65e4cc83b41,,
1029,RAZ LTX 25000-Rainbow Rain,2029,3,Disposable Vape Nicotine,,,,27480,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/15b1a3b2-2713-490b-8c30-1d4ed9038c79,,
1030,RAZ LTX 25000-Strawberry Orange Tang,2030,3,Disposable Vape Nicotine,,,,27481,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/524985b3-5aee-4096-893e-99b779b677a7,,
1093,Dinner Lady Snap Pro 35K Disposable Kit-Clear Pink,2093,3,Disposable Vape Nicotine,,,,1841,,,,,Dinner Lady,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,55,60,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/0f017767-3ef2-4ccf-9341-90309740a9f0,,
1094,Dinner Lady Snap Pro 35K Disposable Kit-Clear,2094,3,Disposable Vape Nicotine,,,,1842,,,,,Dinner Lady,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,55,90,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/4b450793-d80a-432e-ab64-d599af860e70,,
1032,RAZ LTX 25000-Strawberry Peach Gush,2032,3,Disposable Vape Nicotine,,,,36740,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/fe1463eb-7bf0-4f5b-9bee-3bf2f06854fe,,
1035,RAZ LTX 25000-Frozen Banana,2035,3,Disposable Vape Nicotine,,,,4352,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/d3d08044-8cff-4183-b115-2e9403a55f29,,
942,RAZ LTX 25000-Razzle dazzle,1942,3,Disposable Vape Nicotine,,,,77780,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/c4b16ec1-b598-4685-b411-ec6d9c1dca70,,
925,RAZ LTX 25000-Triple Berry Gush,1925,3,Disposable Vape Nicotine,,,,94923,,,,,RAZ,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,50,50,68.75,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/e677fa77-672c-440f-9afe-fda2923d435f,,
